Especie	   	Vto.	Cant. Nominal	Precio Compra	Precio Venta	Cant. Nominal	Último	Variación %	Apertura	Máximo	Mínimo	Cierre Ant.	Vol. Nominal	Monto Operado ($)	Cant. Ope.	Hora Cotización
ALUA		P. E.	1.875	38,400	38,500	1.188	38,400	4,77 	37,100	38,900	37,100	36,650	64.953	2.495.124	158	11:20:26
BBAR		P. E.	100	149,600	149,900	1.207	149,500	8,93 	147,900	150,500	147,000	137,250	87.119	13.034.136	345	11:20:14
BMA		P. E.	212	222,500	222,950	50	222,500	8,35 	218,000	225,000	217,050	205,350	40.379	8.978.860	293	11:20:17
BYMA		P. E.	123	391,000	393,500	990	391,000	4,13 	384,500	398,000	384,500	375,500	3.753	1.464.988	80	11:19:48
CEPU		P. E.	2.360	28,350	28,650	326	28,650	5,91 	28,350	29,500	28,350	27,050	21.834	625.382	74	11:18:52
COME		P. E.	11.102	2,320	2,340	538	2,330	4,48 	2,260	2,330	2,260	2,230	1.226.888	2.831.196	154	11:20:10
CRES		P. E.	708	35,000	35,100	200	35,000	3,86 	34,500	36,000	34,500	33,700	29.209	1.032.798	86	11:19:06
CVH		P. E.	62	461,000	462,000	70	461,000	3,71 	452,000	466,000	450,000	444,500	5.453	2.516.004	98	11:20:15
EDN		P. E.	42.071	22,500	22,550	1.154	22,550	5,13 	22,550	22,950	22,500	21,450	77.949	1.767.835	165	11:20:17
GGAL		P. E.	2	116,950	117,100	3.832	116,900	12,40 	114,150	117,950	114,150	104,000	1.023.913	119.066.340	1302	11:20:25
MIRG		P. E.	388	960,000	962,000	169	960,000	3,90 	930,000	970,000	930,000	924,000	3.123	2.997.091	129	11:20:19
PAMP		P. E.	5.615	50,000	50,200	5.797	50,000	5,37 	49,500	50,600	49,500	47,450	211.173	10.531.108	448	11:20:18
SUPV		P. E.	4.099	54,000	54,100	4.335	54,000	9,09 	52,950	55,100	52,700	49,500	140.209	7.580.389	287	11:20:10
TECO2		P. E.	5	207,200	207,500	182	207,200	6,12 	202,000	209,000	202,000	195,250	2.637	545.211	74	11:20:23
TGNO4		P. E.	1.306	36,600	37,000	1.511	37,000	5,87 	37,000	37,500	36,500	34,950	49.990	1.857.799	204	11:20:10
TGSU2		P. E.	154	126,000	126,300	522	126,300	7,08 	121,100	127,700	121,100	117,950	8.555	1.069.665	61	11:20:19
TRAN		P. E.	2.192	24,250	24,300	2.457	24,250	6,36 	23,900	24,300	23,700	22,800	40.490	976.196	106	11:20:01
TXAR		P. E.	550	33,800	34,100	70	34,100	3,96 	33,900	34,300	33,800	32,800	41.295	1.408.044	67	11:19:39
VALO		P. E.	24.609	28,150	28,200	970	28,150	1,81 	28,100	28,750	28,000	27,650	223.620	6.325.698	197	11:20:16
YPFD		P. E.	5	658,750	658,950	353	658,750	4,91 	640,000	660,000	640,000	627,900	30.688	20.043.583	465	11:20:25
