Especie	   	Vto.	Cant. Nominal	Precio Compra	Precio Venta	Cant. Nominal	Último	Variación %	Apertura	Máximo	Mínimo	Cierre Ant.	Vol. Nominal	Monto Operado ($)	Cant. Ope.	Hora Cotización
ALUA		P. E.	548	37,150	37,550	706	37,600	4,16 	36,500	37,700	35,750	36,100	274.065	10.043.028	509	14:33:54
BBAR		P. E.	99	136,800	137,000	300	136,800	0,59 	136,000	138,500	134,000	136,000	74.144	10.157.027	358	14:33:58
BMA		P. E.	130	203,800	203,900	4.828	203,900	2,26 	199,500	205,000	199,400	199,400	162.072	32.659.699	481	14:34:22
BYMA		P. E.	13	382,500	383,000	61	384,000	1,19 	380,000	384,000	373,500	379,500	21.253	8.112.800	168	14:33:33
CEPU		P. E.	772	26,750	26,800	127	26,750	0,94 	26,550	27,350	26,300	26,500	130.656	3.509.387	265	14:34:24
COME		P. E.	8.587	2,200	2,210	16.926	2,210	0,00 	2,210	2,250	2,170	2,210	1.827.085	4.016.924	413	14:34:32
CRES		P. E.	1.728	32,100	32,400	3.248	32,400	2,37 	32,100	32,900	31,650	31,650	85.623	2.750.883	227	14:31:58
CVH		P. E.	81	426,500	428,000	279	426,500	4,15 	411,500	429,500	410,000	409,500	11.058	4.643.099	211	14:34:38
EDN		P. E.	789	20,600	20,650	1.830	20,650	1,72 	20,300	21,100	20,000	20,300	236.053	4.837.205	335	14:34:03
GGAL		P. E.	452	104,950	105,000	5.972	105,000	1,74 	103,950	105,650	103,000	103,200	759.726	79.530.012	1494	14:34:39
MIRG		P. E.	47	918,000	919,000	90	918,000	0,33 	920,000	938,000	905,000	915,000	7.039	6.459.069	282	14:34:34
PAMP		P. E.	10.870	46,700	46,750	776	46,750	3,89 	45,500	46,750	45,300	45,000	402.015	18.508.260	505	14:34:27
SUPV		P. E.	30	48,750	49,000	946	49,000	2,19 	49,000	49,400	48,000	47,950	169.122	8.265.601	375	14:33:02
TECO2		P. E.	31	190,500	192,000	420	192,000	1,45 	189,500	195,500	189,000	189,250	25.344	4.884.978	119	14:23:37
TGNO4		P. E.	2.445	32,050	32,100	2.662	32,100	0,00 	32,400	32,800	31,400	32,100	95.130	3.039.371	236	14:32:00
TGSU2		P. E.	49	117,000	117,900	5.000	117,900	3,33 	114,050	118,000	112,750	114,100	121.893	14.177.640	155	14:32:56
TRAN		P. E.	2.059	22,200	22,250	44	22,250	0,68 	22,150	23,100	21,700	22,100	106.941	2.372.473	225	14:32:07
TXAR		P. E.	406	32,600	33,000	14.113	32,950	0,76 	33,100	33,500	31,500	32,700	291.133	9.477.527	277	14:30:04
VALO		P. E.	2.750	26,800	26,850	964	26,850	2,87 	26,400	26,900	26,400	26,100	618.486	16.554.118	644	14:33:54
YPFD		P. E.	250	609,000	610,000	170	610,000	1,31 	604,050	617,950	600,000	602,100	52.128	31.735.120	628	14:34:26
