Especie;Precio Compra;Precio Venta;Apertura;Maximo;Minimo
ALUA;38,400;38,500;37,100;38,900;37,100
BBAR;149,600;149,900;147,900;150,500;147,000
BMA;222,500;222,950;218,000;225,000;217,050
BYMA;391,000;393,500;384,500;398,000;384,500
CEPU;28,350;28,650;28,350;29,500;28,350
COME;2,320;2,340;2,260;2,330;2,260
CRES;35,000;35,100;34,500;36,000;34,500
CVH;461,000;462,000;452,000;466,000;450,000
EDN;22,500;22,550;22,550;22,950;22,500
GGAL;116,950;117,100;114,150;117,950;114,150
MIRG;960,000;962,000;930,000;970,000;930,000
PAMP;50,000;50,200;49,500;50,600;49,500
SUPV;54,000;54,100;52,950;55,100;52,700
TECO2;207,200;207,500;202,000;209,000;202,000
TGNO4;36,600;37,000;37,000;37,500;36,500
TGSU2;126,000;126,300;121,100;127,700;121,100
TRAN;24,250;24,300;23,900;24,300;23,700
TXAR;33,800;34,100;33,900;34,300;33,800
VALO;28,150;28,200;28,100;28,750;28,000
YPFD;658,750;658,950;640,000;660,000;640,000
