Especie;Precio Compra;Precio Venta;Apertura;Maximo;Minimo
ALUA;35,000;37,000;39,000;39,400;35,800
BBAR;132,000;140,000;141,950;141,950;130,250
BMA;190,000;208,000;209,000;209,000;193,800
BYMA;365,000;398,500;394,000;394,000;370,000
CEPU;26,000;28,900;27,950;27,950;25,500
COME;2,050;2,350;2,320;2,320;2,200
CRES;31,000;38,350;33,500;33,500;31,000
CVH;385,000;415,000;403,000;414,000;390,000
EDN;20,300;21,850;22,000;22,000;20,150
GGAL;102,000;105,000;108,000;109,000;102,550
HARG;68,000;80,000;71,000;71,000;68,700
PAMP;44,200;46,000;45,400;45,900;44,300
SUPV;44,900;50,500;49,950;50,300;47,200
TECO2;180,000;200,000;194,000;203,000;185,000
TGNO4;31,000;35,000;33,000;33,650;31,100
TGSU2;84,000;120,000;118,050;119,900;107,000
TRAN;21,600;23,000;23,300;24,000;22,000
TXAR;30,000;35,700;35,200;35,500;32,150
VALO;26,100;26,900;25,950;26,250;25,650
YPFD;585,000;625,000;608,000;613,950;593,050
